qid,commons_id,accession_number,label_en,directory,local_filename,rank,image_name,iiif_manifest,notes
Q102961225,M113028886,1984.021,"A Conversation with Guido di Brettinoro, (Purgatorio, Canto 14) from Illustrations to Dante's Divine Comedy",1984,1984.021.tif,,A Conversation with Guido di Brettinoro - Vanderbilt Fine Arts Gallery - 1984.021.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1984/1984.021.tif.json,"Trial upload by script, linked by Quickstatements from Wikidata"
Q102961508,M113040378,1979.0264P,Adoration of the Sheperds,1979,1979.0264P.tif,,Adoration of the Sheperds - Vanderbilt Fine Arts Gallery - 1979.0264P.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0264P.tif.json,
Q102961566,M113051913,1993.222,Album painting of two men in a cottage in a mountain landscape,1993,1993.222.tif,,Album painting of two men in a cottage in a mountain landscape - Vanderbilt Fine Arts Gallery - 1993.222.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1993/1993.222.tif.json,
Q102961830,M113053575,1979.0303P,Autumn River ,1979,1979.0303P.tif,,Autumn River - Vanderbilt Fine Arts Gallery - 1979.0303P.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0303P.tif.json,
Q102962942,M113053895,1973.005,Caney Fork Cabin,1973,1973.005.tif,,Caney Fork Cabin - Vanderbilt Fine Arts Gallery - 1973.005.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1973/1973.005.tif.json,
Q102962954,M113054778,1979.0121,"Capt. Sterrett in the Schr Enterprise paying tribute to Tripoli, August 1801",1979,1979.0121.tif,,"Capt. Sterrett in the Schr Enterprise paying tribute to Tripoli, August 1801 - Vanderbilt Fine Arts Gallery - 1979.0121.tif",https://iiif-manifest.library.vanderbilt.edu/gallery/1979/1979.0121.tif.json,
Q102963263,M113034430,1978.014,Chinese Winter Landscape,1978,1978.014.tif,,Chinese Winter Landscape - Vanderbilt Fine Arts Gallery - 1978.014.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1978/1978.014.tif.json,
Q102963306,M113055090,1973.017,Christ Preaching,1973,1973.017.tif,,Christ Preaching - Vanderbilt Fine Arts Gallery - 1973.017.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1973/1973.017.tif.json,
Q102964059,M113061603,1984.022,"Dante Discoursing with Cacciaguida (Paradisio, Canto 17) from Illustrations to Dante's Divine Comedy",1984,1984.022.tif,,"Dante Discoursing with Cacciaguida (Paradisio, Canto 17) from Illustrations to Dante's Divine Comedy - Vanderbilt Fine Arts Gallery - 1984.022.tif",https://iiif-manifest.library.vanderbilt.edu/gallery/1984/1984.022.tif.json,
Q102964101,M113179360,1971.006,Death of Absalom,1971,1971.006.tif,,Death of Absalom - Vanderbilt Fine Arts Gallery - 1971.006.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1971/1971.006.tif.json,Had to manually upload for some reason.
Q102964735,M113063344,1973.014,Elegant Lovers,1973,1973.014.tif,,Elegant Lovers - Vanderbilt Fine Arts Gallery - 1973.014.tif,https://iiif-manifest.library.vanderbilt.edu/gallery/1973/1973.014.tif.json,
